,Indicator,Fixed,Mobile,Overall
0,AreaUrban,0.9913872045538918,0.5701274594728375,0.9942333869570598
1,AreaRural,0.6589841819080573,0.19513099357390015,0.6996416213544241
2,PopUrban,0.9932467831753213,0.6073348331355617,0.9955531603151533
3,PopRural,0.7658168543237056,0.2524651619735632,0.8053233947848151
