,Indicator,Fixed,Mobile,Overall
0,AreaUrban,0.988859919412183,0.5615074662242238,0.993600379236786
1,AreaRural,0.6589841819080573,0.19513099357390015,0.6996416213544241
2,PopUrban,0.9917275852436849,0.5902085621417099,0.9956425891479758
3,PopRural,0.7658168543237056,0.2524651619735632,0.8053233947848151
